id,conid,symbol,order_id,price_buy,price_sell,shares,execution_time_buy,execution_time_sell,realized_pnl,commission_buy,commission_sell,net_pnl,holding_period,win_loss,subcategory,cumulative_pnl,trade_date,weekday
8,758890620,META,fb7778bc-fe70-4d4c-af9f-53155b41f567,7.76,7.83,1,2025-02-12 09:46:17,2025-02-12 09:46:25,7.000000000000028,-1.05525,-1.0798074,4.864942600000028,0.13333333333333333,Win,C,438.30979239999965,2025-02-12,Wednesday
20,758890620,META,af2675d1-d0d5-437a-8b3a-5971b8074d03,8.22,8.37,1,2025-02-12 09:46:36,2025-02-12 09:46:42,14.999999999999858,-1.05525,-1.0838086,12.860941399999858,0.1,Win,C,451.1707337999995,2025-02-12,Wednesday
9,758890620,META,7fb66752-5108-44e6-bfd4-870a73bba481,8.22,8.37,1,2025-02-12 09:46:36,2025-02-12 09:46:42,14.999999999999858,-1.05525,-1.0838086,12.860941399999858,0.1,Win,C,464.0316751999993,2025-02-12,Wednesday
31,758890620,META,c96ee562-48a8-4111-bf78-76c2d43b6669,8.22,8.37,1,2025-02-12 09:46:36,2025-02-12 09:46:42,14.999999999999858,-1.05525,-1.0838086,12.860941399999858,0.1,Win,C,476.89261659999914,2025-02-12,Wednesday
10,758890620,META,a4491471-aa3b-4b49-a55b-0eb671755459,8.46,8.58,1,2025-02-12 09:46:50,2025-02-12 09:47:06,11.999999999999922,-1.05525,-1.0818924,9.862857599999922,0.26666666666666666,Win,C,486.75547419999907,2025-02-12,Wednesday
32,758890620,META,e94fa1d5-c578-4fd8-aaf3-39340c9097e8,8.46,8.58,1,2025-02-12 09:46:50,2025-02-12 09:47:06,11.999999999999922,-1.05525,-1.0818924,9.862857599999922,0.26666666666666666,Win,C,496.618331799999,2025-02-12,Wednesday
21,758890620,META,50461198-e859-4d20-a207-5d37f1a094e2,8.46,8.58,1,2025-02-12 09:46:50,2025-02-12 09:47:06,11.999999999999922,-1.05525,-1.0818924,9.862857599999922,0.26666666666666666,Win,C,506.4811893999989,2025-02-12,Wednesday
11,752210836,META,7b48065d-8ff2-48e8-a069-ee5f1a7ee637,6.88,6.93,1,2025-02-12 10:22:30,2025-02-12 10:24:06,4.999999999999982,-1.05525,-1.0773054,2.867444599999982,1.6,Win,C,509.3486339999989,2025-02-12,Wednesday
33,752210836,META,516d481e-084a-41db-9e41-6fd771d96b4b,6.88,6.93,1,2025-02-12 10:22:30,2025-02-12 10:24:06,4.999999999999982,-1.05525,-1.0773054,2.867444599999982,1.6,Win,C,512.2160785999989,2025-02-12,Wednesday
22,752210836,META,2d37cab4-2c07-49ac-b9de-b7a53608007e,6.88,6.93,1,2025-02-12 10:22:30,2025-02-12 10:24:06,4.999999999999982,-1.05525,-1.0773054,2.867444599999982,1.6,Win,C,515.0835231999989,2025-02-12,Wednesday
